"Name","Page Type","Content","Spoiler","Bots","Part Category","Parts","Groups","Supergroups","Subpages"
"Imprinter","Bot","When parsed while friendly in [[Zion]], thoughts read: [[GameText]]Our existence must be more meaningful. It's only by joining with Them that we can achieve our full potential.[[/GameText]]. When hostile, thoughts read: [[GameText]]Not good, where's my  Z-Shell when I need it![[/GameText]]","","","","","","",""
"Imprinter Data Core","Part","Contains the access codes to open the blast doors in [[Zion]] that lead to the [[Zion Deep Caves]].
Dropped by the [[Imprinter]] on death.","","","","","","",""
"Impulse Thruster","Part","","","","","","","",""
"Impulse Thruster Array","Part","","","","","","","",""
"Infiltrator","Bot Group","Infiltrators are [[Legs|legged]] [[Derelict]] combat bots with one [[Ballistic Cannons|Ballistic Cannon]] and 2 various other guns. They are the Derelict version of a [[Specialist]]. As their name suggests, they are most often seen infiltrating a [[Garrison]], hiding in a wall. If Cogmind has gained some [[Encrypted Comm Array]] score, Infiltrators will sometimes take the place of Specialist reinforcements called by a [[Heavy]]. In this case, they will only reveal themselves as friendly after seeing Cogmind. They come equipped with a unique [[Active Sensor Spoofer]] to mislead Heavy reinforcements.","Spoiler","Infiltrator (6),Infiltrator (7),Infiltrator (8)","","","","",""
"Infiltrator (6)","Bot","","","","","","","",""
"Infiltrator (7)","Bot","","","","","","","",""
"Infiltrator (8)","Bot","","","","","","","",""
"Infowar","Part Supergroup","Infowar (information warfare) is a general category of parts that revolve around gaining additional information about the surrounding map or its inhabitants and/or reducing the capabilities of hostile robots. Wandering around completely blind is possible, but can cause a lot of bad encounters and is generally very [[Community Challenges#No Info Only War|Challenging]]. Infowar can be used to do things like locate and avoid hostiles, search for specific elements of a map such as [[Interactive Machine|Interactive Machines]] or [[Exit|Exits]], and to generally navigate through a map more efficiently. Infowar is composed of primarily [[Utilities|Utility]] slot parts, although a few [[Alignment]]-related abilities can grant infowar-type effects without dedicating an active slot to them. The largest categories of infowar are bot detection and map detection.
Infowar is useful on all build types, from combat to stealth alike. Stealth builds tend to have many slots of infowar active at once in order to completely avoid all contact with hostile bots. Combat builds, especially on slower propulsion types like [[Treads]], have difficulty avoiding encounters altogether, even with a large amount of infowar. However, infowar can help make informed decisions about combat encounters and help Cogmind take fights in beneficial scenarios. For example, one good use is preparing an [[Explosive Launchers|Explosive Launcher]] if a [[Swarmer]] squad is known to be nearby. Blindly wandering around into that same Swarmer squad might see Cogmind in a bad position, forced to take damage while spend turns swapping out a launcher or becoming surrounded.
Many infowar utilities tend to be low integrity devices and should ideally be swapped into inventory before entering combat. High coverage [[Armor]] can help protect these parts, but even then, these parts tend to get destroyed fairly easily in combat. [[Utility Shieldings]] may reduce the need for swapping in combat, especially for a faster-moving flight or hover build that doesn't want to stick around for prolonged combat.

[[Heading]]Infowar Types[[/Heading]]
[[Heading:2]]Robot Detection[[/Heading]]
This type of infowar revolves around detecting bots before they are seen through normal [[Line of Sight]] mechanics. Being able to detect bots through walls, especially at a large distance, can be a large boon for avoiding unnecessary combat encounters.
[[Heading:3]][[Sensor Arrays]][[/Heading]]
Sensor Arrays are the most basic and one of the most common forms of robot detection. Lower rating sensors have a low detection radius, equal or smaller than the primary 16 tile line of sight distance, so their primary use is finding bots in nearby rooms or around corners rather than long-ranged detection. Sensors are best paired with [[Signal Interpreters]] due to their ability to distinguish between different classes of bots. They can easily be looted from [[TF Node|TF Nodes]].
The [[Active Sensor Suite]] is a variant of the standard Sensor Array. It combines both the sensor and signal interpreting capabilities into a single part. It also provides a unique type of intel that shows commonly traveled robot paths to points of interest on the map.
[[Heading:3]][[FarCom]][[/Heading]]
FarCom is not a part, but is a free source of 18 tile radius robot detection that can be acquired by using the FarCom Aligner machine in the [[Exiles (Location)]]. Unlike most other types of robot detection, FarCom can detect only combat bots and only in [[0b10]] controlled maps. While [[Mines]] is counted as an 0b10-controlled map, [[Caves]] is notably not.
[[Heading:3]][[Seismic Detector]] (bot detection)[[/Heading]]
The Seismic Detector is an indirect and somewhat unreliable source of robot detection. Grounded bots that move generate varying amounts of seismic activity that can be detected. Wheeled, legged, and treading bots create dark orange short, bright orange medium, and bright yellow long trails. Airborne bots cannot be detected by Seismic Detectors. They can often be looted off of [[T-07 Excavator|T-07 Excavators]].
[[Heading:3]][[IFF Parsers]][[/Heading]]
IFF Parsers are a basic form of robot detection. All bots are revealed by this part, although the type of bot is not revealed. Instead, the IFF parser reveals the faction of the scanned bot. 0b10-aligned bots show up in yellow while other bots show up in blue.
[[Spoiler]]
[[Heading:3]][[Quantum Companion]][[/Heading]]
The Quantum Companion is a unique weapon with many different effects. Some effects are not present on the [[Companion Sword|base form of the sword]], but only appear in the evolved Quantum form. One of these effects is a 12 tile radius sensor effect. While the range is very low, this part is unique in that it provides infowar in a weapon slot rather than in utility slots.
[[/Spoiler]]
[[Redacted]]
[[Heading:3]][[Sigix Exoskeleton]] (Robot Detection)[[/Heading]]
The Sigix Exoskeleton is a unique propulsion item. It has a large number of effects, one of which is an 18-tile range robot detection effect. All active bots within the range are instantly detected. This part is unique in that it provides infowar in propulsion slots rather than in utility slots.[[/Redacted]]
[[Heading:3]]Robot Detection and Patrol Navigation ([[RIF]] abilities)[[/Heading]]
Robot Detection and Patrol Navigation are abilities that can randomly be gained when using a RIF installer. Robot Detection grants the detection of any 0b10-aligned combat bot within a 24 tile range when a matching [[Relay Couplers|Relay Coupler]] is attached. Patrol Navigation grants the prediction of squad movement paths within a 24 tile range when a matching Relay Coupler is attached, although it only reveals the path of the squad leader. While these abilities can detect bots with the Scan Cloak trait, they will not work in non-0b10 controlled maps like Caves. They tend to be fairly unreliable due to the many different types of bots that are present in 0b10. Having a coupler for every possible bot type takes an unreasonable amount of slots.
[[Heading:3]][[0b10 Decoder Chip [Skirmisher]]][[/Heading]]
The Skirmisher, and to a lesser extent, the [[0b10 Decoder Chip [Generic]|Generic]] decoder chips, are two unique sources of bot detection. They do not directly reveal the class or location of specific bots like most bot detection sources. Instead, they can occasionally pick up the type and locations of patrol, investigation, reinforcement, and security squads and mark them as intel on the map. This effect only occurs in 0b10 controlled maps. This effect is somewhat unreliable due to the infrequent intel updates.
[[Heading:3]][[Triangulator]][[/Heading]]
The Triangulator is an extremely niche 24 tile robot detecting utility with one major catch: It can only detect robots that are currently tracking Cogmind. This makes it unhelpful for avoiding hostile bots in the first place. However, once spotted, it can be a helpful tool to shake pursuers on faster propulsion types. This makes it unlike all of the other forms of bot detection since they are proactive instead of reactive. The Triangulator also has other effects including hostile visual range detection and travel paths, but they effects don't actively help in detecting bots. It has no restrictions on bot detection and can even detect bots with the Scan Cloak trait.
[[Heading:3]]Robot Detection Infowar Comparison[[/Heading]]
[[Table]]
Category|Sensor Arrays|Active Sensor Suite|FarCom|Seismic Detector|IFF Parsers|[[Spoiler]]Quantum Companion[[/Spoiler]]|[[Redacted]]Sigix Exoskeleton[[/Redacted]]|Robot Detection/Patrol Navigation|0b10 Decoder Chip [Skirmisher/Generic]|Triangulator||
Range|[[CellStyle:Neutral]]14-20|[[CellStyle:Good]]20|[[CellStyle:Good]]18|[[CellStyle:Good]]22|[[CellStyle:Neutral]]16-26|[[CellStyle:Bad]]12|[[CellStyle:Good]]18|[[CellStyle:Good]]24|[[CellStyle:Good]]22|[[CellStyle:Good]]24||
Detect Bot Class|[[CellStyle:Neutral]]With Signal Interpreter|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes|[[CellStyle:Bad]]No|[[CellStyle:Bad]]No|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes|[[CellStyle:Bad]]No|[[CellStyle:Good]]Yes||
Ignores jamming/scrambling|[[CellStyle:Bad]]No|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes|[[CellStyle:Neutral]]Ignores jamming but not scrambling|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes||
Bot detection limitations|[[CellStyle:Good]]Affected by Scan Cloak, requires [[Exp. Signal Interpreter]] but can detect dormant bots|[[CellStyle:Good]]Affected by Scan Cloak|[[CellStyle:Neutral]]Combat bots only, does not detect dormant bots|[[CellStyle:Bad]]Grounded and moving bots only|[[CellStyle:Good]]Does not detect dormant bots|[[CellStyle:Good]]Does not detect dormant bots|[[CellStyle:Good]]Does not detect dormant bots|[[CellStyle:Good]]Does not detect dormant bots|[[CellStyle:Good]]Does not detect dormant bots|[[CellStyle:Bad]]Only combat bots actively tracking||
Slot requirement|[[CellStyle:Neutral]]1 swappable utility, optionally 1 unswappable utility|[[CellStyle:Bad]]3 unswappable utility|[[CellStyle:Good]]None|[[CellStyle:Good]]1 swappable utility|[[CellStyle:Good]]1 swappable utility|[[CellStyle:Good]][[Spoiler]]1 swappable weapon[[/Spoiler]]|[[CellStyle:Good]][[Redacted]]3 unswappable propulsion[[/Redacted]]|[[CellStyle:Bad]]1 unswappable utility per bot class|[[CellStyle:Neutral]]1 unswappable utility|[[CellStyle:Good]]1 swappable utility||
Alignment requirement|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A|[[CellStyle:Neutral]]Exiles|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A|[[CellStyle:Neutral]][[Spoiler]]UFD or scraptown attack[[/Spoiler]]|[[CellStyle:Neutral]][[Redacted]][[Core Reset Matrix]] + Sigix Exoskeleton[[/Redacted]]|[[CellStyle:Neutral]]RIF|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A||
Update frequency|[[CellStyle:Neutral]]Once per turn|[[CellStyle:Neutral]]Once per turn|[[CellStyle:Good]]Realtime|[[CellStyle:Good]]Realtime|[[CellStyle:Bad]]Once per two turns|[[CellStyle:Good]]Realtime|[[CellStyle:Good]]Realtime|[[CellStyle:Good]]Realtime|[[CellStyle:Bad]]Infrequent|[[CellStyle:Good]]Realtime||
Map restrictions|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A|[[CellStyle:Neutral]]0b10 only|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A|[[CellStyle:Neutral]]0b10 only|[[CellStyle:Neutral]]0b10 only|[[CellStyle:Good]]N/A||
Other limitations|[[CellStyle:Neutral]]Can be difficult to decipher without a Signal Interpreter|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A|[[CellStyle:Bad]]Can be difficult to decipher, many bots are not detected|[[CellStyle:Neutral]]Can be difficult to decipher|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A|[[CellStyle:Good]]N/A
[[/Table]]
[[Heading:2]]Terrain Scanning[[/Heading]]
This type of infowar revolves around detecting nearby terrain, especially exits, rooms, and machines. Terrain scanning can make traversal through a map more efficient and easier. When combined with robot detection, hostile squads can often be bypassed entirely with a safe path out of sight.
[[Heading:3]][[Terrain Scanners]][[/Heading]]
Terrain scanners are the basic form of terrain scanning that reveal a random selection of nearby tiles nearby. The basic rate of terrain scanning is very low and only reveals up to a few tiles per turn. They can be combined with [[Terrain Scan Processors]] to dramatically increase the amount of tiles that are scanned per turn. Slower propulsion types tend to get more value out of terrain scanners as it provides more time for the scanners to do their work. A powerful enough processor can make terrain scanning fast enough to work well for even fast flight builds.
[[Heading:3]][[Structural Scanner]][[/Heading]]
Structural Scanners are a form of short ranged terrain scanning that operate instantly. When a wall is seen in visual range, immediately surrounding tiles are instantly revealed, including emergency access doors. [[Spoiler]]For the [[Deep Structural Scanner]], 3 tiles deep are revealed instead.[[/Spoiler]] Due to its cheap upkeep and instant scanning speed, it is a high value for faster builds. It is particularly helpful at locating short digs and emergency accesses between adjacent rooms.
[[Redacted]][[Heading:3]]Sigix Exoskeleton (Terrain Scanning)[[/Heading]]
The Sigix Exoskeleton is a unique propulsion item. It has a large number of effects, one of which is an 18-tile range terrain scanning effect. All types of terrain within that range, including hidden doors, are instantly detected.[[/Redacted]]
[[Heading:3]][[Machine Analyzer]][[/Heading]]
The Machine Analyzer is an indirect source of terrain scanning. It does not reveal random terrain tiles, but it does reveal most types of machines. Once any interactive or non-interactive machine is spotted, nearby machines are also revealed. If an interactive machine was spotted, the nearest machine of the same type is also revealed regardless of distance.
[[Heading:3]]Seismic Detector (terrain scanning)[[/Heading]]
The Seismic Detector is an indirect and unreliable source of terrain scanning. Certain machines will generate seismic activity that are picked up by this part. This only happens for a few types of non-interactive machines, and mostly in Factory maps. Interactive machines are never detected. This does not reveal any specific information about the terrain, but approximate room sizes and locations may be guessed based on the detected machines.
[[Heading:3]][[0b10 Decoder Chip [Scout]]][[/Heading]]
The Scout, and to a lesser extent, the Generic decoder chips, are two sources of indirect terrain scanning. However, their terrain scanning effect is very limited. Only exits, [[Garrison Access|Garrisons]], and hidden doors can be detected.
[[Heading:3]]Structural Interface  (RIF Ability)[[/Heading]]
Structural Interface is an ability that can randomly be gained when using a RIF installer that provides an indirect source of terrain scanning. Hidden doors and phase walls (primarily inside Garrisons) are instantly revealed on sight, similar to the Structural Scanner.
[[Heading:3]]Terrain Scanning Infowar Comparison[[/Heading]]
[[Table]]
Category|Terrain Scanners|Structural Scanner|[[Redacted]]Sigix Exoskeleton[[/Redacted]]|Machine Analyzer|Seismic Detector|0b10 Decoder Chip [Scout/Generic]|Structural Interface||
Range|[[CellStyle:Good]]14-30|[[CellStyle:Neutral]]Visual range|[[CellStyle:Good]]18|[[CellStyle:Good]]Potentially Map-wide|[[CellStyle:Good]]22|[[CellStyle:Good]]25 (square area)|[[CellStyle:Neutral]]Visual range||
Scanning type|[[CellStyle:Good]]Scans tiles at random in range|[[CellStyle:Neutral]]Scans tiles just past visual range|[[CellStyle:Good]][[Redacted]]Scans all tiles in range[[/Redacted]]|[[CellStyle:Neutral]]Scans machines only|[[CellStyle:Bad]]Scans only certain machines|[[CellStyle:Bad]]Scans only exits, Garrisons, and hidden doors|[[CellStyle:Bad]]Scans only hidden doors and phase walls within visual range||
Ignores scrambling|[[CellStyle:Bad]]No|[[CellStyle:Bad]]No|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes|[[CellStyle:Good]]Yes||
Slot requirement|[[CellStyle:Neutral]]1 swappable utility, optionally 1 unswappable utility|[[CellStyle:Good]]1 swappable utility|[[CellStyle:Good]][[Redacted]]3 unswappable propulsion[[/Redacted]]|[[CellStyle:Neutral]]1 unswappable utility|[[CellStyle:Good]]1 swappable utility|[[CellStyle:Neutral]]1 unswappable utility|[[CellStyle:Good]]None||
Alignment requirement|[[CellStyle:Good]]No|[[CellStyle:Good]]No|[[CellStyle:Neutral]][[Redacted]]Core Reset Matrix + Sigix Exoskeleton[[/Redacted]]|[[CellStyle:Good]]No|[[CellStyle:Good]]No|[[CellStyle:Good]]No|[[CellStyle:Neutral]]RIF||
Update frequency|[[CellStyle:Neutral]]Once per turn, very low rate without processor|[[CellStyle:Good]]Instant|[[CellStyle:Good]]Instant|[[CellStyle:Good]]Instant|[[CellStyle:Good]]Instant|[[CellStyle:Bad]]Infrequent|[[CellStyle:Good]]Instant||
Map restrictions|[[CellStyle:Good]]N/A|[[CellStyle:Good]]None|[[CellStyle:Good]]N/A|[[CellStyle:Neutral]]0b10 only|[[CellStyle:Good]]N/A|[[CellStyle:Neutral]]0b10 only|[[CellStyle:Good]]None
[[/Table]]
[[Heading:2]]Vision Manipulation[[/Heading]]
Unlike the previous larger categories, there are only 2 types of vision manipulation. [[Cloaking Devices]] reduce vision of hostile bots and [[Visual Processing Units]] increase vision of the bot using them. While they function slightly differently, they serve a similar purpose of allowing additional exploration without being spotted by hostiles.
[[Heading:3]]Vision Manipulation Infowar Comparison[[/Heading]]
[[Table]]
Category|Cloaking Devices|Visual Processing Units||
Range|[[CellStyle:Good]]-2 to -6, up to -9 when half_stacked|[[CellStyle:Good]]+2 to +8, not stackable||
Energy Upkeep|[[CellStyle:Neutral]]Expensive: -5 to -20 energy per turn|[[CellStyle:Good]]None||
Slot requirement|[[CellStyle:Good]]1 swappable|[[CellStyle:Neutral]]1 unswappable||
Other positives|[[CellStyle:Good]]Allows sneaking into areas guarded by bots without being spotted|[[CellStyle:Good]]Allows for seeing further in combat and sniping||
Other Negatives|[[CellStyle:Neutral]]Low integrity/high coverage, no use if bots are already tracking Cogmind|[[CellStyle:Good]]N/A
[[/Table]]
[[Heading:2]]Other Infowar Types[[/Heading]]
[[Heading:3]][[0b10 Decoder Chips]][[/Heading]]
While some of the decoder chips were mentioned in other categories, as a whole they're an oddball group. They tend to provide intel that crosses in between major categories, while also providing unique intel like part detection.
[[Heading:3]][[Drone Bays]][[/Heading]]
Drone bays send out controlled allies to explore the map. Basic drones can only be used for exploration, although other drones can be used for combat purposes as well.
[[Heading:3]][[ECM Suites]][[/Heading]]
ECM Suites are used to end tracking against Cogmind quicker. Each type of ECM Suite has a multiplier that makes hostile tracking less effective. Additionally, the [[Alert]] gain that occurs when a bot loses tracking on Cogmind does not occur when active. While this doesn't help avoid bots in the first place, it is helpful for losing pursuers.
[[Heading:3]][[Transmission Jammers]][[/Heading]]
Transmission Jammers are used for several purposes, but generally help prevent communication between hostiles, especially summoning of reinforcements. While in range, they will prevent bots from transmitting tracking data about Cogmind to other allies on spot. This can help pick off bots in a squad 1 by 1 and to eliminate or bypass Watchers even when hostiles are nearby. They can also block [[Alarm Trap|Alarm Traps]] entirely.
[[Heading:3]]Signal Jamming (RIF Ability)[[/Heading]]
Signal Jamming is a RIF ability that behaves similar to Transmission Jammers. Instead of requiring a specific part to use, 0b10 bots are jammed based on attached Relay Couplers. Additionally, Alarm Traps are blocked entirely.
[[Heading:3]][[Trap Scanners]][[/Heading]]
Trap Scanners do exactly as their name implies: They scan for traps. Trap Scanners add fixed percentage to the chance to detect a trap each turn that one is within Cogmind's line of sight.

[[Heading]]Infowar gallery[[/Heading]]
[[Gallery]]Sensor Array Activated.webp|A sensor array being activated|
FarCom Active.webp|FarCom bot detection active, with green ring indicating radius|
Seismic Detector Activating.webp|Seismic Detector becoming activated and showing seismic activity|IFF Parser.webp|[[IFF Parser]] becoming activated and showing a patrol|
[[Spoiler]]Quantum Companion Sensors Active.webp[[/Spoiler]]|[[Spoiler]]Quantum Companion bot detection, with blue ring indicating radius[[/Spoiler]]|
[[Redacted]]Sigix Exoskeleton Sensors.webp[[/Redacted]]|[[Redacted]]Sigix Exoskeleton bot detection and terrain scanning, with blue ring indicating radius[[/Redacted]]|
Robot Detection With Patrol Navigation.webp|Robot Detection (bots within red ring) and Patrol Navigation (yellow paths)|0b10 Decoder Chip Skirmisher.webp|0b10 Decoder Chip [Skirmisher] detecting a patrol|Terrain Scanning.webp|Basic [[Terrain Scanner]] activating and scanning|Terrain Scanning With Processor.webp|Basic Terrain Scanner activating and scanning with [[Adv. Terrain Scan Processor]] attached|Structural Scanner Activating.webp|Structural Scanner activating and scanning|Machine Analyzer.webp|Machine Analyzer detecting a [[Terminal]] and locating nearby machines[[/Gallery]]","","","","0b10 Alert Chip,Active Sensor Spoofer,Deep Structural Scanner,ID Mask,Machine Analyzer,Modified TNC,Seismic Detector,Structural Scanner,Transport Network Coupler,Triangulator,Zeronet Interface","0b10 Decoder Chips,Cloaking Devices,Drone Bays,ECM Suites,IFF Parsers,Sensor Arrays,Signal Interpreters,Terrain Scan Processors,Terrain Scanners,Transmission Jammers,Trap Scanners,Visual Processing Units","",""
"Insulated Plating","Part","","","","","","","",""
"Integrated Dissipator","Part","","","","","","","",""
"Integrated Mediator","Part","","","","","","","",""
"Integrated Reactor","Part","","","","","","","",""
"Integrated Thermoelectric Network","Part","","","","","","","",""
"Integrated Tracker Drive","Part","","","","","","","",""
"Integrity Redistributor","Part","","","","","","","",""
"Interactive Machine","Other","Interactive machines are types of machines that Cogmind can hack for a variety of effects. They are most commonly found in [[0b10]]-controlled floors, although some machines, especially [[Terminal|Terminals]], can be found in many locations. 0b10 combat and non-combat bots will interact with each of these machines in different ways. Interactive machines have a security level between 1 and 3 that determines how difficult it is to hack at them.

[[Heading]]Types of Interactive Machines[[/Heading]]
[[Gallery]]../game_sprites/Fabricator.png|[[Fabricator]]: Create parts and bots from schematics|../game_sprites/Garrison.png|[[Garrison Access|Garrison]]: Dispatches 0b10 squads, also serves as an entrance into the [[Garrison|Garrison map]]|../game_sprites/Recycling Unit.png|[[Recycling Unit]]: [[Recycler|Recyclers]] deposit parts into this machine and recycle them into matter|../game_sprites/Repair Station.png|[[Repair Station]]: Can repair parts, refit backup parts, and serves as a home point of [[Mechanic|Mechanics]]|../game_sprites/Scanalyzer.png|[[Scanalyzer]]: Scans parts in inventory to create schematics that can be used for fabricating|../game_sprites/Terminal.png|[[Terminal]]: Provides many miscellaneous hacks, sometimes are guarded by [[Operator|Operators]][[/Gallery]]

[[Heading]]Hacking[[/Heading]]
Each type of machine has a number of hacks that can be used that are listed in the hacking interface, labeled from A up to Y at most, called direct hacks. Hacks can be performed on Terminals specifically that are not listed by manually typing the name of the hack in. Performing a hack this way is called manal or indirect hacking and has an additional penalty added to it. This penalty is an additional -15% per security level.
[[Heading:2]]Being Detected[[/Heading]]
As Cogmind hacks a machine, there is a chance of detection on each hack. The chance of detection can be reduced by [[Defensive Hackware]], but not lower than 10%. [[Spoiler]]Blowing up Hub machines in [[Hub_04(d)]] provides a stacking reduction along with defensive hackware.[[/Spoiler]] If detected on a hack that was successful, the machine's trace percent will start at 0%. If detected on a failing hack the trace percent will be anywhere from 1% to (100% - (hack success rate). The initial trace percent can also be reduced by defensive hackware. Once tracing has begun, subsequent hacks will increase the trace progress until reaching 100%. The amount of progress depends on the security level of the machine, whether a hack was successful or not, and the amount of defensive hackware equipped. Defensive hackware can reduce the trace percent gained per hack to no fewer than 15% on a successful hack and 25% on an unsuccessful hack.
[[Heading:2]]Being Fully Traced[[/Heading]]
If a machine's trace percentage reaches 100%, Cogmind will be fully traced. If this happens, the log message [[GameText]]ALERT: Suspicious activity at [machine name]. Dispatching Investigation Squad.[[/GameText]] will appear and there are three negative consequences:
[[List]]Machine lockout: The machine will become locked and further hacking will not be possible. [[Spoiler]]Trojans with effects over time will generally still remain operational when applied to the machine, with the exception of Trojan(Skim).[[/Spoiler]]|[[Investigation Squad]]: A squad is dispatched to the location of the machine.|Feedback: Feedback may inflict 1% [[Corruption]] on Cogmind and fry hackware attached to Cogmind. This feedback may be prevented with Defensive Hackware.[[/List]]
[[Heading:2]]Security level[[/Heading]]
Security level has different effects on machine hacking. Some are specific to certain kinds of machines, but the following effects are common between all machines:
[[List]]Hacking penalty: Direct hacks on security level 2 machines have a 50% success rate compared to level 1 machines, and level 3 machines have a 25% success rate compared to level 1 machines. Indirect hacks suffer an additional -15% success rate per security level.|Detection rate: The base chance of being traced is 20 or 25% on a level 1 machine, 50% on a level 2 machine, and 60, 70, or 80% on a level 3 machine.|Trace rate: Once detected at a machine, the trace rate is increased at a higher rate on higher rating machines.|Higher armor value: The exact value varies per machine type, but higher security level machines always have more armor than lower security level machines.[[/List]]
Security level frequency scales based on depth. At lower depths, the vast majority of machines are security level 1. By -1, nearly every machine is security level 3.
[[Heading:2]]Hacking Success[[/Heading]]
There are several major components of hacking success rates. The formula is [[GameText]](base success rate) + ([[Offensive Hackware] bonus) - (Cogmind's [[Corruption]] % / 3) + (Operator hack bonus) + ([[Spoiler]]Botnet hack bonus[[/Spoiler]])[[/GameText]].
[[Heading:3]]Operator bonus[[/Heading]]
Each allied Operators within 20 tiles provides a bonus to hacking success rate. The bonus varies depending on the total number of Operators. There is a +10% bonus to hacks for the first Operator, +5% for the second, +2% for the third, and +1% for all others.
[[Spoiler]][[Heading:3]]Trojan(Botnet)[[/Heading]]
Installing Botnet trojans on other Terminals within the same map provides a hacking bonus. There is a +6% bonus to hacks for the first botnet installed, +3% for the second, and +1% for all others. Note that a botnet will not affect hacking success chance on the terminal it is installed on.[[/Spoiler]]
[[Heading:3]]Base Hacking Success Rate Examples[[/Heading]]
Example hacking success calculations. All final values are truncated.
[[Table]]
Level 1 direct|Level 1 indirect|Level 2 direct|Level 2 indirect|Level 3 direct|Level 3 indirect||
80%|80% - (15% * 1)|80% / 2|(80% / 2) - (15% * 2)|(80% / 4)|(80% / 4) - (15% * 3)||
80%|65%|40%|10%|20%|-25%
[[/Table]]

[[Heading:2]]Central Database Authorization[[/Heading]]
Indirect hacks for lore records, prototype IDs, part or robot schematics, Scanalyzer studies, and robot analyses, are all considered ""database hacks"". Successfully hacking any of them has a base 25% chance to instead cause a map-wide central database lockout, preventing further indirect database hacks. However, direct hacks of those types remain possible after a central database lockout, and they cannot cause one in the first place. The first indirect database hack on a map cannot cause a database lockout.
Not all lore records, part schematics, studies, robot analyses or robot schematics can be indirectly hacked on all Terminals. Terminals have a level of database authorization dependent on security level and current depth, equal to (10 - current depth + security level). It is only possible to indirectly hack a part/robot schematic or analysis if the Terminal's authorization level is equal to or higher than the rating/tier of the relevant part/robot (prototype parts are considered to have a +1 to their rating for this purpose).
For example, at -5/Factory, level 2 Terminals have an authorization level of (10 - 5 + 2) = 7, which would allow hacking for standard rating 7 parts or prototype rating 6 parts.
Lore records also have a hidden rating/tier stat. This value can only be determined by attempting and failing to access a particular record.

[[Heading:2]]Unauthorized Hacks[[/Heading]]
There are certain unauthorized spoiler hacks can also be used on different machine types. These are a class of hacks known either as [[Spoiler]]Trojans or Force hacks[[/Spoiler]]. The names and effects of these hacks can be discovered from a variety of [[Derelict]] sources.
[[Spoiler]][[Heading:3]]Trojans[[/Heading]]
Generally, Trojan hacks have a permanent or long term duration effect. Trojans can only be applied once per machine. Other than that limitation, they are not dramatically different from most other hacks on machines.
[[Heading:3]]Force Hacks[[/Heading]]
Force hacks are much more dramatic in terms of effects compared to other hacks. They can only be used once on a machine, and if successful, they will immediately lock the machine and summon an [[Investigation Squad]] to the area. Most Force hacks have an additional [[Alert]] penalty that is unique per hack that can be found on the Alert page.[[/Spoiler]]","","","","","","","Fabricator,Garrison Access,Recycling Unit,Repair Station,Scanalyzer,Terminal"
