Collected,Name,Type,Slot,Size,Mass,Rating,Category,Integrity,No Repairs,Coverage,Special Trait,Life,Energy Upkeep,Matter Upkeep,Heat Generation,Energy Generation,Energy Storage,Power Stability,Time/Move,Mod/Extra,Drag,Energy/Move,Heat/Move,Support,Penalty,Burnout,Special,Range,Shot Energy,Shot Matter,Shot Heat,Recoil,Targeting,Delay,Overload Stability,Waypoints,Arc,Wide,Projectile Count,Damage Min,Damage Max,Damage Type,Critical,Penetration,Heat Transfer,Spectrum,Disruption,Salvage,Explosion Radius,Explosion Arc,Explosion Damage Min,Explosion Damage Max,Falloff,Chunks,Explosion Type,Explosion Heat Transfer,Explosion Spectrum,Explosion Disruption,Explosion Salvage,Effect,Description,Hackable Schematic,Fabrication Number,Fabrication Time,Fabrication Components,Studyable,Supporter Attribution
"23","Sml. Battery","Storage","Utility","1","1","1","","15","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 100. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","3","51/25/17","","","waaden",
"8","Med. Battery","Storage","Utility","1","2","1","","25","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 150. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","3","51/25/17","","","Mike Messer",
"10","Lrg. Battery","Storage","Utility","1","3","1","","35","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 200. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","2","51/25/17","","","assasinwar9",
"15","Hcp. Battery","Storage","Utility","1","4","1","","45","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 250. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","2","51/25/17","","","Arild (Foamed) Iversen",
"33","Com. Battery","Storage","Utility","1","1","3","","15","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 200. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","2","73/36/24","","","lyrabold",
"59","Energy Well","Storage","Utility","1","5","5","","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 350. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","2","95/47/31","","","Tkyl-er",
"66","Imp. Energy Well","Storage","Utility","1","4","6","Prototype","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 400. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","1","169/84/56","","","",
"158","Adv. Energy Well","Storage","Utility","1","3","7","Prototype","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 500. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","1","187/93/62","","","Leoprime",
"226","Exp. Energy Well","Storage","Utility","1","2","8","Prototype","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 600. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","1","204/102/68","","","haddron",
"5","Cep. Chromion Battery","Storage","Utility","1","1","9","Prototype","100","1","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 800. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","","","","","","",
"88","Zio. Biocell","Storage","Utility","1","1","5","Prototype","20","1","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 600. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","","","","","","",
"91","Asb. Biocell Array","Storage","Utility","1","1","7","Prototype","50","1","8","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 1000. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","","","","","","",
"11","Zio. Biocell Array","Storage","Utility","1","2","8","Prototype","30","1","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 750. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","","","","","","",
"11","Superbattery","Storage","Utility","1","4","9","Prototype","120","1","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 1500. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","","","","","","",
"1","V4-D3R's Forcewell","Storage","Utility","1","1","9","Prototype","60","1","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases energy storage capacity by 750. Also stores surplus generated energy while in inventory, but cannot be accessed for use until attached. Stored energy can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","Automatically refilled every turn while simultaneously attached alongside V4-D3R's Forcegen.","","","","","","",
"14","Sml. Matter Pod","Storage","Utility","1","1","1","","15","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 50. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","3","51/25/17","","","Jessica",
"34","Med. Matter Pod","Storage","Utility","1","2","1","","25","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 100. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","3","51/25/17","","","",
"20","Lrg. Matter Pod","Storage","Utility","1","3","1","","35","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 150. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","2","51/25/17","","","",
"50","Hcp. Matter Pod","Storage","Utility","1","4","1","","45","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 200. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","2","51/25/17","","","Christian Dudek",
"14","Com. Matter Pod","Storage","Utility","1","1","3","","15","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 150. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","2","73/36/24","","","",
"23","Matter Compressor","Storage","Utility","1","5","5","","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 250. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","2","95/47/31","","","dolader",
"56","Imp. Matter Compressor","Storage","Utility","1","4","6","Prototype","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 300. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","1","169/84/56","","","Carnax",
"33","Adv. Matter Compressor","Storage","Utility","1","3","7","Prototype","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 400. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","1","187/93/62","","","Captain_Yankee",
"105","Exp. Matter Compressor","Storage","Utility","1","2","8","Prototype","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 500. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","1","1","204/102/68","","","Ryan Vincent",
"9","YI-UF0's Bottomless Matter Pit","Storage","Utility","1","8","8","Prototype","120","1","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 1500. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","","","","","","",
"1","Cep. NT7 Matterbank","Storage","Utility","1","1","9","Prototype","100","1","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 750. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position. Storage and retrieval while not attached is not possible if this item is corrupted.
 <stacks>","","","","","","","",
"26","Weight Redist. System","Device","Utility","1","","2","","22","","8","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 6.
 <no_stack>","","1","2","62/31/20","","","K-nut",
"98","Adv. Weight Redist. System","Device","Utility","1","","3","","24","","8","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 9.
 <no_stack>","","1","2","73/36/24","","","Dimmies",
"34","Gravity Neutralizer","Device","Utility","1","","5","Prototype","29","","8","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 12.
 <no_stack>","","1","1","152/76/50","","","forsaken1111",
"27","Adv. Gravity Neutralizer","Device","Utility","1","","7","Prototype","35","","8","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 16.
 <no_stack>","","1","1","187/93/62","","","Stephen Brealey",
"57","Quantum Shading Machine","Device","Utility","1","","8","Prototype","36","","8","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 20.
 <no_stack>","","1","1","204/102/68","","","",
"57","Asb. Suspension Frame","Device","Utility","1","","8","Prototype","55","1","75","Fragile","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 20.
 <no_stack>","","","","","","","",
"19","Adv. Quantum Shading Machine","Device","Utility","1","","9","Prototype","38","1","8","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 25.
 <no_stack>","","1","1","222/111/74","","","Alan Chang",
"1","Cep. Dimensional Manipulator","Device","Utility","1","","10","Prototype","54","1","8","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 30.
 <no_stack>","","","","","","","",
"-1","Rocket Booster","Device","Utility","1","4","4","","75","1","15","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases active wheel speed by 75%, if not overweight.
 <no_stack>","","","","","","","",
"2","Asb. Metafiber Network","Device","Utility","1","1","8","Prototype","50","1","8","Fragile","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases active leg speed by 20%.
 <no_stack>","","","","","","","",
"23","Zio. Metafield Generator","Device","Utility","1","3","8","Prototype","80","1","30","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Doubles core/hover/flight speed, applied before considering any overweight penalties.
 <no_stack>","","","","","","","",
"5","ST Field Compressor","Device","Utility","1","5","9","Prototype","120","1","30","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Doubles core/hover/flight speed, applied before considering any overweight penalties.
 <no_stack>","","","","","","","",
"1","Siege Articulator","Device","Utility","1","3","5","","75","1","8","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Reduces time to transition into or out of siege mode by 3 turns. Transitioning always requires at least 1 turn.
 <stacks>","","","","","","","",
"339","Structural Scanner","Device","Utility","1","1","1","","20","","8","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Scans all visible walls to analyze the structure behind them, out to a depth of 1. Also identifies hidden doorways and highlights areas that will soon cave in due to instability even without further stimulation.","","1","2","51/25/17","","","Michal Melewski",
"3","Deep Structural Scanner","Device","Utility","1","1","4","","45","1","15","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Scans all visible walls to analyze the structure behind them, out to a depth of 3. Also identifies hidden doorways and highlights areas that will soon cave in due to instability even without further stimulation.","","","1","84/42/28","","","",
"6","Plexus Tether","Processor","Utility","1","","9","","15","1","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Links to the Forge Plexus, every 5 turns receiving positions and IDs of all 0b10-recognized parts through the entire Protoforge area.","","","","","","","",
"5","Trap Scanner","Device","Utility","1","2","3","","20","","8","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4% chance to detect each hidden trap within field of view, checked each turn on a per-trap basis.
 <parallel_ok>","","1","2","73/36/24","","","",
"7","Imp. Trap Scanner","Device","Utility","1","3","5","","22","","8","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6% chance to detect each hidden trap within field of view, checked each turn on a per-trap basis.
 <parallel_ok>","","1","2","95/47/31","","","",
"4","Mak. Trap Scanner","Device","Utility","1","5","6","","50","","8","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20% chance to detect each hidden trap within field of view, checked each turn on a per-trap basis.
 <parallel_ok>","","","1","106/53/35","","","",
"6","Adv. Trap Scanner","Device","Utility","1","3","7","","27","","8","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8% chance to detect each hidden trap within field of view, checked each turn on a per-trap basis.
 <parallel_ok>","","1","2","117/58/39","","","",
"91","Machine Analyzer","Processor","Utility","1","","3","","15","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Analyzes visible machines to locate others on the 0b10 network. Also determines whether an explosive machine has been destabilized and how long until detonation.","","1","2","73/36/24","","","",
"19","Triangulator","Device","Utility","1","1","5","","40","","8","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Reasons likely distance at which each visible hostile can spot you, enables predictions of visible robot travel paths, and analyzes ambient signals to determine how many hostiles are currently tracking you, as well as pinpoint them if within a range of 24.","","1","2","95/47/31","","","",
"96","Visual Processing Unit","Processor","Utility","1","","2","","22","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases visual sensor range by 2.
 <no_stack>","","1","2","62/31/20","","","Sionnis",
"6","Sub. Optics","Device","Utility","1","2","2","","40","","15","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases visual sensor range by 5.
 <no_stack>","","","2","62/31/20","","","",
"152","Adv. Visual Processing Unit","Processor","Utility","1","","3","","24","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases visual sensor range by 4.
 <no_stack>","","1","2","73/36/24","","","Sir Fist",
"158","Enh. Optical Array","Processor","Utility","1","","5","","27","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases visual sensor range by 6.
 <no_stack>","","1","2","95/47/31","","","Thorgi",
"92","Exp. Optical Array","Processor","Utility","1","","7","Prototype","31","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases visual sensor range by 7.
 <no_stack>","","1","1","187/93/62","","","J.A. Niskanen",
"48","Spectral Analyzer","Processor","Utility","1","","8","Prototype","36","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases visual sensor range by 8.
 <no_stack>","","1","1","204/102/68","","","Shhivv",
"61","Sensor Array","Device","Utility","1","1","1","","20","","15","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 14, once per turn.","","1","2","51/25/17","","","kriptosporidium",
"351","Imp. Sensor Array","Device","Utility","1","1","3","","22","","15","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 15, once per turn.","","1","2","73/36/24","","","Cynapse",
"597","Adv. Sensor Array","Device","Utility","1","1","5","","24","","15","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 16, once per turn.","","1","2","95/47/31","","","Valguris",
"251","Lrn. Sensor Array","Device","Utility","1","2","7","","27","","15","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 18, once per turn.","","1","2","117/58/39","","","Andrew Dixon",
"31","Mak. Sensor Array","Device","Utility","1","5","7","","25","","15","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 19, once per turn.","","","1","117/58/39","","","",
"480","Exp. Sensor Array","Device","Utility","1","1","8","Prototype","29","","15","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 20, once per turn.","","1","1","204/102/68","","","Pyredrid",
"51","Signal Interpreter","Processor","Utility","1","","1","","20","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Strength 1: Robot scan signals differentiate between object sizes. (Requires data from a Sensor Array.) Also enables deciphering of signals emitted from adjacent exits, revealing where they lead, and at garrisons know the time until the next response dispatch, if any. When multiple exits lead to the same destination, after having identified the first, subsequent ones will be identified on sight even without an interpreter.","","1","2","51/25/17","","","Ahren Groesch",
"215","Imp. Signal Interpreter","Processor","Utility","1","","3","","22","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Strength 2: Robot scan signals accurately reflect target size and class, and are unaffected by system corruption. (Requires data from a Sensor Array.) Also enables deciphering of signals emitted from adjacent exits, revealing where they lead, and at garrisons know the time until the next response dispatch, if any. When multiple exits lead to the same destination, after having identified the first, subsequent ones will be identified on sight even without an interpreter.","","1","2","73/36/24","","","Johnny_Benzene",
"263","Adv. Signal Interpreter","Processor","Utility","1","","5","","24","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Strength 3: Robot scan signals accurately reflect target size and specific class rating, and are unaffected by system corruption. (Requires data from a Sensor Array.) Also enables deciphering of signals emitted from adjacent exits, revealing where they lead, and at garrisons know the time until the next response dispatch, if any. When multiple exits lead to the same destination, after having identified the first, subsequent ones will be identified on sight even without an interpreter.","","1","2","95/47/31","","","",
"36","Exp. Signal Interpreter","Processor","Utility","1","","7","Prototype","29","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Strength 4: Robot scan signals accurately reflect target size and specific class rating, are unaffected by system corruption, and can discern dormant, unpowered, disabled, and broken robots. (Requires data from a Sensor Array.) Also enables deciphering of signals emitted from adjacent exits, revealing where they lead, and at garrisons know the time until the next response dispatch, if any. When multiple exits lead to the same destination, after having identified the first, subsequent ones will be identified on sight even without an interpreter.","","1","1","187/93/62","","","",
"13","Active Sensor Suite","Device","Utility","3","4","8","Prototype","120","1","24","Fragile","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 20, once per turn, in addition to all effects of a maximum-strength Signal Interpreter. Immune to all jamming, scrambling and cloaking effects except robots with Scan Cloak 5. Also detects long-term residual evidence of prior robot activity within field of view. 0b10 combat robots scanned by this device will report the event, once per bot.","","","","","","","",
"4","Exp. Active Sensor Suite","Device","Utility","2","3","9","Prototype","120","1","16","Fragile","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 20, once per turn, in addition to all effects of a maximum-strength Signal Interpreter. Immune to all jamming, scrambling and cloaking effects except robots with Scan Cloak 5. Also detects long-term residual evidence of prior robot activity within field of view. 0b10 combat robots scanned by this device will report the event, once per bot.","","","","","","","",
"1","IFF Parser","Device","Utility","1","1","5","","28","","15","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables friend-or-foe identification of active robots up to a distance of 16, once per 2 turns. Yellow markers are 0b10-affiliated signals, blue markers are not.","","1","2","95/47/31","","","",
"2","Lrn. IFF Parser","Device","Utility","1","1","8","","28","1","15","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables friend-or-foe identification of active robots up to a distance of 26, once per 2 turns. Yellow markers are 0b10-affiliated signals, blue markers are not.","","","","","","","",
"1","Zeronet Interface","Processor","Utility","1","","10","Prototype","19","1","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables real-time tracking of all 0b10 combat and non-combat robots across the entire floor. Only applies in 0b10-controlled areas.","","","","","","","",
"16","Terrain Scanner","Device","Utility","1","1","1","","20","","15","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 14, once per turn.","","1","2","51/25/17","","","RoboCicero",
"87","Imp. Terrain Scanner","Device","Utility","1","1","3","","22","","15","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 16, once per turn.","","1","2","73/36/24","","","Riot X",
"185","Adv. Terrain Scanner","Device","Utility","1","1","5","","24","","15","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 20, once per turn.","","1","2","95/47/31","","","Muffiny",
"12","Mak. Terrain Scanner","Device","Utility","1","1","7","","25","","15","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 18, once per turn.","","","1","117/58/39","","","",
"222","Lrn. Terrain Scanner","Device","Utility","1","2","7","","27","","15","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 24, once per turn.","","1","2","117/58/39","","","Nalum",
"41","Exp. Terrain Scanner","Device","Utility","1","1","8","Prototype","29","","15","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 30, once per turn.","","1","1","204/102/68","","","Malergh",
"1","Surveybot 24 Scanner","Device","Utility","1","5","8","","5","1","30","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 24, once per turn.","","","","","","","",
"23","Terrain Scan Processor","Processor","Utility","1","","2","","22","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 75. (Requires data from a Terrain Scanner.)
 <stacks>","","1","2","62/31/20","","","",
"35","Imp. Terrain Scan Processor","Processor","Utility","1","","3","","24","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 100. (Requires data from a Terrain Scanner.)
 <stacks>","","1","2","73/36/24","","","Skerj",
"10","Mak. Terrain Scan Processor","Processor","Utility","1","","4","","25","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 125. (Requires data from a Terrain Scanner.)
 <stacks>","","","1","84/42/28","","","",
"102","Adv. Terrain Scan Processor","Processor","Utility","1","","4","","27","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 200. (Requires data from a Terrain Scanner.)
 <stacks>","","1","2","84/42/28","","","Rev. Sudasana",
"31","Exp. Terrain Scan Processor","Processor","Utility","1","","7","Prototype","29","","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 1000. (Requires data from a Terrain Scanner.)
 <stacks>","","1","1","187/93/62","","","Diceyface",
"2","Surveybot 17 Chip","Processor","Utility","1","","7","","1","1","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 1200. (Requires data from a Terrain Scanner.)
 <stacks>","","","","","","","",
