Name,Class,Tier,Threat,Rating,Value,Size Class,Size,Profile,Memory,Spot %,Movement,Speed,Speed %,Sight Range,Energy Generation,Heat Dissipation,Core Integrity,Core Exposure,Core Exposure %,Salvage Potential,Accuracy,Melee Accuracy,Inventory Capacity,Hacking Availability,Hacking Difficulty,Power Slots,Propulsion Slots,Utility Slots,Weapon Slots,Kinetic,Thermal,Explosive,Electromagnetic,Impact,Slashing,Piercing,Immunities,Traits,Fabrication Count,Fabrication Time,Armament,Components,Analysis
"L-31 Rogue","Duelist","2","1","18","47","Medium","1","RD5X5","30","20","Walking","120","83","16","17","15","25","127","34","40~60","60","75","1","ALL","AVERAGE","1","2","2","1","","","","","","25%","25%","","","3","99/49/33","Katana","Imp. Ion Engine, 2x Imp. Aluminum Leg, Core Shielding, Melee Analysis Suite","L-series duelists are a melee variant of the grunt class, engaging targets at close range with the support of ranged combat units. They lack the broad protection of the brawler class' armor, but feature an extra layer of dedicated core armor. They are highly accurate with their katana and capable of quickly reducing an opponent's effectiveness by slashing exposed components clean off.",
"L-41 Fighter","Duelist","4","2","30","50","Medium","1","RD5X5","30","20","Walking","120","83","16","21","15","40","135","34","50~70","60","76","1","ALL","AVERAGE","1","2","3","1","","","","","","25%","25%","","","3","134/67/44","Axe","Imp. Deuterium Engine, 2x Carbon-fiber Leg, Core Shielding, Microactuators, Imp. Melee Analysis Suite","L-41 Fighters are even more accurate than the L-31, and use an axe for slightly improved slashing force. Like other L-series robots, the L-41 is only dispatched in coordination with grunts. Like other L-series robots, the L-41's armor structure is reinforced against the slashes of melee damage, as well as piercing attacks.",
"L-61 Swordsman","Duelist","7","3","48","67","Medium","1","RD5X5","30","20","Walking","120","83","16","26","15","60","135","34","60~85","60","78","1","ALL","AVERAGE","1","2","3","1","","","","","","25%","25%","","","3","187/93/62","Power Sword","Lgt. Antimatter Reactor, 2x Flexi-carbon Leg, Imp. Core Shielding, Microactuators, Adv. Melee Analysis Suite","The most accurate frontline melee combat unit, the L-61 Swordsman also has a well-shielded core and a powered sword very effective at slicing off target components.",
"I-25 Savior","Protector","2","1","27","25","Medium","1","RD5X5","20","","Rolling","100","100","16","26","15","20","294","50","20~40","60","70","1","ALL","AVERAGE","2","2","5","","","25%","","","","","","","","1","99/49/33","","2x Imp. Ion Engine, 2x Com. Wheel, Power Amplifier, Lrg. Battery, 2x Com. Battery, Remote Shield","I-series protectors are one of very few dual-engine robots, necessary to both move and power their remote shield generator. Additional power is stored in batteries for burst use during heavy confrontations, and a power amplifier increases the rate of power generation to replenish energy in an ongoing combat scenario.",
"I-36 Angel","Protector","4","2","40","36","Medium","1","RD5X5","20","","Rolling","100","100","16","36","15","40","332","50","40~60","60","70","1","ALL","AVERAGE","2","3","6","","","25%","","","","","","","","1","134/67/44","","2x Imp. Deuterium Engine, 3x Com. Wheel, Power Amplifier, Hcp. Battery, 3x Com. Battery, Remote Force Field","The I-36 Angel's remote force field is 33% more effective than the I-25's shield generator, shielding targets from half of all damage where there is enough energy to support the field. Protector class robots are not especially well armored, but in addition to their shield are also strong against more common thermal weaponry, as well as always working in concert with a larger assault force.",
"I-47 Archangel","Protector","6","3","64","47","Medium","1","RD5X5","20","","Rolling","100","100","16","48","20","60","392","50","60~80","60","70","1","ALL","AVERAGE","2","4","7","","","25%","","","","","","","","1","169/84/56","","2x Antimatter Reactor, 4x Com. Wheel, Power Amplifier, 2x Energy Well, 2x Com. Battery, Imp. Remote Force Field, Point Defense System","I-47 Archangels are equipped with a more efficient force field than the I-36, and greater battery storage to support its use. Their point defense system further conserves energy by intercepting explosive projectiles prior to detonation.",
"C-55 Analyst","Researcher","8","2","49","55","Medium","1","RD5X5","40","","Hovering","56","178","16","23","25","40","200","39","40~60","60","70","6","ALL","AVERAGE","1","2","4","1","","25%","","-50%","-25%","-25%","-25%","Jamming","","1","204/102/68","Stasis Beam","Lgt. Fission Core, 2x Antigrav System, Sml. Storage Unit, System Guard, Imp. Corruption Screen, Component Analysis Suite","C-series researchers operate labs in which they independently develop and test new technologies. As non-combat units assigned to secure areas, their core is weak against many forms of damage. However, due to the periodic need to operate in high-temperature areas they are somewhat resistant to damage of a thermal nature. The C-55 is also equipped with a stasis beam to contain derelict specimens for study.",
"C-65 Expert","Researcher","9","3","62","65","Medium","1","RD5X5","40","","Hovering","56","178","16","24","25","50","194","40","60~80","60","70","6","ALL","AVERAGE","1","2","4","1","","25%","","-50%","-25%","-25%","-25%","Jamming","","1","222/111/74","Stasis Projector","Lgt. Neutrino Core, 2x Imp. Antigrav System, Sml. Storage Unit, Imp. System Guard, Adv. Corruption Screen, Imp. Component Analysis Suite","An upgrade to the C-55 Analyst, Experts possess improved analytical capabilities and a more powerful stasis projector.",
"Y-45 Defender","Sentry","2","1","15","45","Large","1","RD7X7","40","100","Treading","160","62","16","17","36","20","350","35","50~60","60","70","1","ALL","AVERAGE","1","2","3","2","","","50%","","25%","","","","","2","99/49/33","Beam Rifle, Hvy. Assault Rifle","Imp. Ion Engine, 2x Lgt. Treads, Lgt. Armor Plating, 2x Heat Sink","Y-series armored sentries are equipped with a mix of thermal and kinetic weaponry. The Y-45 guards important locations and vital machinery, and remains at its station unless they identify a hostile robot or are alerted to the presence of one nearby.",
"Y-54 Guardian","Sentry","4","2","32","54","Large","1","RD7X7","40","100","Treading","160","62","16","21","43","45","350","35","60~75","60","70","1","ALL","AVERAGE","1","2","3","2","","","50%","","25%","","","","","2","134/67/44","Gatling Laser, Flak Gun","Imp. Deuterium Engine, 2x Lgt. Treads, Imp. Light Armor Plating, 2x Imp. Heat Sink","Y-54 Defenders improve on the Y-45 with better armor and greater effectiveness against both single and multiple targets, swapping out the beam rifle and heavy assault rifle for a gatling laser and flak gun. Like all Y-series sentries, their armor is hardened against impact damage and explosive blasts.",
"Y-64 Sentinel","Sentry","6","3","49","64","Large","1","RD7X7","40","100","Treading","160","62","16","24","51","65","390","34","70~90","60","70","1","ALL","AVERAGE","1","2","3","2","","","50%","","25%","","","","","2","169/84/56","Wave Gun, KE Penetrator","Neutrino Core, 2x Imp. Treads, Imp. Medium Armor Plating, 2x Adv. Heat Sink","A better-armored version of the Y-54, with upgraded weaponry. Like other Y-class robots, their large size is a primary drawback, as it makes them easier to hit both when targeted and by stray projectiles.",
"Y-72 Warden","Sentry","8","4","64","72","Large","1","RD7X7","40","100","Treading","160","62","16","28","58","85","592","34","80~105","60","70","1","ALL","AVERAGE","1","2","4","2","","","50%","","25%","","","","","2","204/102/68","Quantum Rifle, Railgun","Particle Reactor, 2x Med. Treads, Hvy. Armor Plating, 2x Adv. Heat Sink","The most heavily armored Y-series sentry, and the only current robot class to carry the quantum rifle as standard armament.",
"D-53 Grenadier","Demolisher","3","3","34","53","Medium","1","RD5X5","30","30","Hovering","77","129","16","24","25","40","254","40","40~60","60","70","1","ALL","HARD","1","2","3","1","","","75%","","25%","","","","","1","116/58/38","Mni. Grenade Launcher","Lgt. Deuterium Engine, 2x Cmb. Airjet, Imp. Light Armor Plating, Shock Absorption System, Launcher Guidance Computer","D-series demolishers are the only class to carry explosive weaponry, and due to the high potential for collateral damage are only assigned to support assault forces dispatched to deal with groups of high-threat intruders. The D-53 itself is highly resistant against explosive damage, however, and is therefore willing to catch targets in an explosion even while within that blast radius.",
"D-63 Destroyer","Demolisher","6","4","49","63","Medium","1","RD5X5","30","30","Hovering","77","129","16","25","37","65","287","39","55~80","60","70","1","ALL","HARD","1","2","3","1","","","75%","","25%","","","","","1","169/84/56","Hvy. Rocket Launcher","Mic. Fission Core, 2x Cmb. Gravmag System, Lyr. Light Armor Plating, Shock Absorption System, Imp. Launcher Guidance Computer","D-63 Destroyers improve on the D-53 with a better guidance system and more powerful heavy rocket launcher. Like all demolishers, the D-63 will hold fire if too many friendlies are within the area of effect.",
"D-83 Annihilator","Demolisher","9","5","67","83","Medium","1","RD5X5","30","30","Hovering","77","129","16","31","40","90","350","39","70~100","60","70","1","ALL","HARD","1","2","3","1","","","100%","","25%","","","","","1","222/111/74","Micro-nuke Launcher","Mni. Fusion Reactor, 2x Cmb. Antigrav System, Imp. Medium Armor Plating, Imp. Shock Absorption System, Adv. Launcher Guidance Computer","The most powerful demolisher, the D-83 Annihilator is built around a single micro-nuke launcher. Its advanced guidance computer is extremely accurate, and excellent defense against explosives reduce damage from such sources to almost insignificant levels, whether caused by its own micro-nuke or those of an enemy.",
"X-57 Shotgunner","Specialist","3","1","24","57","Medium","1","RD5X5","50","30","Walking","90","111","16","19","29","20","259","29","40~70","60","70","1","ALL","HARD","1","2","2","2","","","","","","","","","","2","116/58/38","Hpw. Shotgun, Shotgun","Nuclear Core, 2x VSS Leg, Hrd. Medium Armor Plating, Imp. Heat Sink","X-series specialists each possess unique loadouts for a specific purpose. With remarkable sprinting speed made possible by legs built around a system of variable stiffness springs, the limited range of the X-57 Shotgunner's armament is little disadvantage in combat. Despite the relative range gap between their two shotguns, this works to their advantage by pinning less aggressive targets not eager to enter the X-57's optimal range, giving other units an opportunity to flank them.",
"X-62 Marksman","Specialist","4","2","40","62","Medium","1","RD5X5","50","30","Walking","120","83","20","21","42","25","178","29","45~75","65","70","1","ALL","HARD","1","2","5","2","","","","","","","","","","2","134/67/44","Gauss Rifle, Pulse Rifle","Imp. Deuterium Engine, 2x Imp. Carbon-fiber Leg, Imp. Cooling System, Adv. Visual Processing Unit, Targeting Computer, Core Analyzer, Armor Integrity Analyzer","X-series specialists each possess unique loadouts for a specific purpose. The X-62 Marksman combines exceptional visual detection range and superior targeting abilities with a long-range gauss rifle. It is also armed with a pulse rifle as a secondary weapon for close encounters, and is more likely to hit a target's core, even penetrating armor to do so.",
"X-67 Chaingunner","Specialist","5","3","43","67","Medium","1","RD5X5","50","30","Walking","120","83","16","23","34","32","217","29","50~80","60","70","1","ALL","HARD","1","2","4","2","","","","","","","","","","2","152/76/50","Hvy. Machine Gun, Minigun","Angular Momentum Engine, 2x Flexi-carbon Leg, Adv. Heat Sink, Lrg. Matter Pod, Weapon Cycler, Kinecellerator","X-series specialists each possess unique loadouts for a specific purpose. The X-67 Chaingunner focuses on high kinetic damage output over a short period, and would make a formidable frontline attacker if not for their tendency to cause excessive collateral damage.",
"X-72 Disruptor","Specialist","6","3","46","72","Medium","1","RD5X5","50","30","Walking","90","111","16","25","69","40","234","29","55~85","60","70","1","ALL","HARD","1","2","4","2","","","","15%","","","","","","2","169/84/56","Imp. Arc Projector, Arc Projector","Mic. Fission Core, 2x Imp. VSS Leg, Insulated Plating, Lrg. Battery, 2x Imp. Cooling System","X-series specialists each possess unique loadouts for a specific purpose. While less likely to deal significant damage to a target, the X-72 Disruptor excels at incapacitating robots and their components, making them easier to capture for analysis.",
"X-77 Beamer","Specialist","7","4","68","77","Medium","1","RD5X5","50","30","Walking","90","111","16","36","77","47","197","29","60~90","60","70","1","ALL","HARD","1","2","4","3","","","","","","","","","","2","187/93/62","3x Gatling Laser","Antimatter Reactor, 2x Adv. VSS Leg, 2x Adv. Cooling System, Adv. Coolant Injector, Adv. Particle Charger","X-series specialists each possess unique loadouts for a specific purpose. Although relatively slow to attack, X-77 Beamers are capable of inflicting significant thermal damage, often enough to melt any targets with insufficient cooling. Time lost during attacking is also made up for by quicker repositioning enabled by VSS legs.",
"X-82 Rainmaker","Specialist","8","4","50","82","Medium","1","RD5X5","50","30","Walking","120","83","16","28","46","55","213","29","65~95","60","70","1","ALL","HARD","1","2","2","2","","","","","","","","","","2","204/102/68","2x Hvy. Flak Cannon","Lgt. Particle Reactor, 2x Myomer Leg, Hcp. Matter Pod, Adv. Cooling System","X-series specialists each possess unique loadouts for a specific purpose. The X-82 Rainmaker's twin heavy flak cannons are deadly against either lightly armored or numerous clustered targets. It carries a high-capacity Matter Pod to supply them with enough ammunition for continuous firing in prolonged confrontations.",
"X-87 Electro","Specialist","9","5","89","87","Medium","1","RD5X5","50","30","Walking","110","90","16","36","46","62","148","29","70~100","60","70","1","ALL","HARD","1","2","7","1","","","","","","","","","","2","222/111/74","Com. HERF Cannon","Quantum Reactor, 2x Biometal Leg, Adv. Power Amplifier, 2x Energy Well, Adv. Cooling System, Adv. Coolant Injector, Quantum Capacitor","X-series specialists each possess unique loadouts for a specific purpose. The X-87 Electro is built around a single compact HERF cannon, equipped with enough energy to sustain firing for a time that generally exceeds the duration of most encounters, frequently cut short because targets are likely to flee rather than risk the debilitating effects of so much electromagnetic corruption at once.",
"H-55 Commando","Hunter","3","1","21","55","Medium","1","RD5X5","60","50","Walking","120","83","16","19","25","30","227","34","40~60","65","70","1","ALL","HARD","1","2","1","2","25%","","","-25%","","","","","Scan Cloak (1): Hides this robot from sensors without a Signal Interpreter of at least strength 1.","2","116/58/38","Gauss Rifle, Assault Rifle","Lgt. Nuclear Core, 2x Carbon-fiber Leg, Targeting Computer","H-series hunters aggressively track down intruders, and have multiple means of ensuring they can complete that task. Their advanced probability systems are capable of predicting target positions for some time after contact is lost. When necessary, hunter squad leaders also launch an autonomous drone from their built-in drone bay to help find escaped targets. The H-55 cannot be remotely detected by low-level sensor arrays.",
"H-66 Slayer","Hunter","5","2","41","66","Medium","1","RD5X5","60","50","Walking","120","83","16","23","33","45","325","34","50~70","70","70","1","ALL","HARD","1","2","3","3","25%","","","-25%","","","","","Scan Cloak (2): Hides this robot from sensors without a Signal Interpreter of at least strength 2.","2","152/76/50","2x Gauss Rifle, Hvy. Assault Rifle","Lgt. Fission Core, 2x Flexi-carbon Leg, 2x Targeting Computer, Phase Shifter","H-66 Slayers are armed with dual gauss rifles, which combined with the H-66's embedded close-range scanners can be used to penetrate walls to strike targets on the opposite side. The H-66 also uses two targeting computers in parallel for greater accuracy. The H-66 can only be remotely detected by mid-level sensor arrays.",
"H-77 Assassin","Hunter","7","3","56","77","Medium","1","RD5X5","60","50","Walking","120","83","16","26","37","65","324","34","60~85","66","70","1","ALL","HARD","1","2","2","3","25%","","","-25%","","","","","Scan Cloak (3): Hides this robot from sensors without a Signal Interpreter of at least strength 3.","2","187/93/62","2x Coil Gun, Hpw. Shotgun","Lgt. Antimatter Reactor, 2x Myomer Leg, Imp. Targeting Computer, Imp. Phase Shifter","The H-77 Assassin swaps out the H-66's gauss rifles for dual coilguns. The Assassin's position is somewhat masked by an improved Phase Shifter, making it more difficult to accurately target. The H-77 can only be remotely detected by high-level sensor arrays.",
"H-88 Terminator","Hunter","9","4","69","88","Medium","1","RD5X5","60","50","Walking","110","90","16","30","40","75","324","34","70~100","68","70","1","ALL","HARD","1","2","2","3","25%","","","-25%","","","","","Scan Cloak (4): Hides this robot from sensors without a Signal Interpreter of at least strength 4.","2","222/111/74","2x KE Penetrator, Hvy. Machine Gun","Lgt. Quantum Reactor, 2x Biometal Leg, Adv. Targeting Computer, Adv. Phase Shifter","The deadliest hunter class robot, armed with both a heavy machine gun and two KE penetrators, is well-cloaked and very difficult to hit, while possessing advanced targeting capabilities itself. The H-88 Terminator cannot be remotely detected by standard sensor array technology, though recent prototype sensors have shown some promise at penetrating even the best cloaking techniques.",
"P-60 Hacker","Programmer","4","1","37","60","Medium","1","RD5X5","80","30","Hovering","56","178","16","20","43","30","185","29","40~50","60","70","5","MANUAL","","1","2","3","3","-25%","-25%","25%","75%","","","","Hacking","","2","134/67/44","Remote Datajack, 2x Shock Rifle","Mic. Nuclear Core, 2x Gravmag System, Target Analyzer, 2x Imp. Heat Sink","P-series programmers are the primary means of asserting control over areas of unwanted derelict activity. As they are often dispatched to combat environments, programmers are equipped with both electromagnetic weaponry and dedicated target analysis components enabling them to quickly incapacitate hostiles.",
"P-70 Sage","Programmer","6","2","54","70","Medium","1","RD5X5","80","30","Hovering","56","178","16","25","54","40","185","29","50~60","60","70","5","MANUAL","","1","2","3","3","-25%","-25%","25%","75%","","","","Hacking","","2","169/84/56","Imp. Remote Datajack, Hpw. Shock Rifle, Tesla Rifle","Mic. Fission Core, 2x Antigrav System, Imp. Target Analyzer, 2x Imp. Heat Sink","The P-70 Sage replaces one P-60 shock rifle with a high-powered version, and swaps the other one out for a tesla rifle. Like all programmers, the P-70 can engage in both defensive and offensive remote hacking.",
"P-80 Master","Programmer","8","3","82","80","Medium","1","RD5X5","80","30","Hovering","52","192","16","34","73","50","215","29","60~70","60","70","5","MANUAL","","1","3","5","3","-25%","-25%","25%","75%","","","","Hacking","","2","204/102/68","Adv. Remote Datajack, 2x Gamma Rifle","Mic. Antimatter Reactor, 3x Imp. Antigrav System, Adv. Target Analyzer, 2x Adv. Heat Sink, 2x Sml. Battery","The P-80 Master is armed with dual gamma rifles, the most powerful type of standard electromagnetic gun. Like other P-series robots, the P-80 uses specialized armor insulated against electromagnetic damage, though compromises in design leave it slightly weak against kinetic attacks.",
"H-61 Shepherd","Heavy","3","3","90","61","Large","1","RD7X7","10","","Treading","170","58","18","21","52","60","490","24","60~75","65","70","1","ALL","GREAT","1","3","12","2","","","50%","","50%","50%","50%","","","","","Hvy. Assault Cannon","Rnf. Deuterium Engine, 3x Arm. Treads, Cooling System, Hrd. Heavy Armor Plating, Graphene Brace, Dynamic Insulation System, Active Sensor Suite, Transmission Jammer, Visual Processing Unit, Weapon Cycler, Targeting Computer","While it's unlikely intruders would underestimate a heavy on seeing their impressive offensive loadout, this line is even more formidable than it first appears given their ability to selectively mask nearby allies from standard sensor systems, and their authority to call in multiple reinforcements on suspected targets detected via active scanning. Normally assigned to defend choke points, heavies also intermittently relocate to increase coverage and make it less likely intruders will slip through unnoticed.",
"H-71 Marshal","Heavy","6","4","137","71","Large","1","RD7X7","10","","Treading","170","58","20","34","71","90","518","24","80~100","66","70","1","ALL","GREAT","1","3","15","2","","","50%","25%","50%","50%","50%","","","","","Hvy. Mass Driver","Rnf. Fission Core, 3x Arm. Medium Treads, Imp. Cooling System, Imp. Heat Sink, Imp. Heavy Armor Plating, Graphene Brace, Imp. Dynamic Insulation System, EM Shield, Active Sensor Suite, Imp. Transmission Jammer, Adv. Visual Processing Unit, Imp. Weapon Cycler, Kinecellerator, Imp. Targeting Computer","The H-71 Marshal improves on the H-61 in almost every way, most notably with an even more powerful heavy cannon paired with a Kinecellerator, and better protection against electromagnetic damage.",
"H-81 Overseer","Heavy","9","5","178","81","Large","1","RD7X7","10","","Treading","170","58","22","40","80","120","572","25","100~125","68","70","1","ALL","GREAT","1","4","15","2","","","50%","25%","50%","50%","50%","","","","","Hvy. Linear Accelerator","Rnf. Quantum Reactor, 2x Arm. Heavy Treads, Adv. Cooling System, Adv. Heat Sink, Lyr. Heavy Armor Plating, Graphene Brace, Imp. Dynamic Insulation System, EM Shield, Active Sensor Suite, Adv. Transmission Jammer, Enh. Optical Array, Adv. Weapon Cycler, Imp. Kinecellerator, Adv. Targeting Computer","H-81 Overseers are equipped with the heaviest Linear Accelerator variant and the utilities to back it up, able to hit harder and further, all while managing nearby combat robots in order to concentrate defensive efforts and quickly subdue hostile forces.",
"Q-Series","Q-Series","8","5","83","90","Large","1","RD7X7","60","50","Walking","110","90","16","54","90","75","275","29","70~100","60","70","1","MANUAL","","2","3","15","10","","","","","","","","Hacking, Jamming","","","","","Lgt. Particle Reactor, Lgt. Antimatter Reactor, 3x Biometal Leg, Lyr. Medium Armor Plating, Imp. Core Shielding, Adv. Cooling System, Adv. Heat Sink, Adv. Dynamic Insulation System","Q-Series robots are a new modular design built to deal with specific threats as they are encountered. The base form is an armored walker with a strong well-concealed core and numerous additional slots available for both utilities and armament.",
"B-75 Beast","Behemoth","5","1","85","75","Large","2","SQ9X9","50","30","Treading","160","62","16","32","84","110","327","20","70~100","60","70","1","ALL","GREAT","2","3","6","3","","-10%","","25%","","","","Coring","","","","Hvy. Plasma Cannon, Magnetic Acceleration Cannon, Hvy. Machine Gun","2x Rnf. Deuterium Engine, 3x Imp. Medium Treads, Lyr. Medium Armor Plating, Med. Reflective Plating, Dynamic Insulation System, 2x Imp. Cooling System, Coolant Injector","B-series behemoths are heavy weapons platforms stationed in open areas, often constructed directly in the very areas they defend for lack of sufficiently large access corridors. While their components could have been designed to fit a smaller frame, much of the redundant internal structure is devoted to preventing critical system failures. The B-75 Beast carries two cannons and a backup light weapon, making it especially effective against singular hardened targets.",
"B-86 Titan","Behemoth","7","2","116","86","Large","2","SQ9X9","50","30","Treading","160","62","16","24","92","125","529","19","90~130","60","70","1","ALL","GREAT","1","4","8","3","","","","25%","","","","Coring","","","","Matter Neutralizer, Hardcell Cannon, Railgun","Rnf. Fission Core, 2x Hvy. Treads, Hrd. Heavy Armor Plating, Hvy. Reflective Plating, Dynamic Insulation System, 2x Adv. Cooling System, Imp. Coolant Injector","B-86 Titans upgrade the B-75's cannons to a matter neutralizer and hardcell cannon, pairing them with a secondary railgun. Like other behemoths, the B-86 is equipped with both reflective armor and an insulated core to mitigate the negative effects of most electromagnetic weapons, which would otherwise render high-coverage heavy armor pointless.",
"B-90 Cyclops","Behemoth","9","4","148","90","Large","2","SQ9X9","50","30","Treading","170","58","16","40","148","140","494","19","110~160","60","70","1","ALL","GREAT","1","4","13","1","","-10%","","45%","","","","Coring","","","","Nova Cannon","Rnf. Antimatter Reactor, 2x Arm. Heavy Treads, Adv. Power Amplifier, Imp. Heavy Armor Plating, Med. Reflective Plating, Med. Insulated Plating, Imp. Weapon Shielding, Imp. Dynamic Insulation System, 3x Adv. Cooling System, Adv. Coolant Injector, Quantum Capacitor","The B-90 Cyclops is built around a single massive nova cannon, a design decision I originally regretted as they were relatively easy to disarm. Newer versions implement dedicated weapon shielding for the cannon itself, and improved firing rates made possible by a new capacitor design. Like all behemoth class robots, the B-90's overall structure is slightly weak against thermal attacks, but is protected by sufficient armor to make up for it.",
"B-99 Colossus","Behemoth","10","5","219","99","Large","2","SQ9X9","50","30","Treading","170","58","16","50","118","160","869","19","130~200","60","70","1","ALL","GREAT","2","6","14","4","","","","55%","","","","Coring","","","","2x Linear Accelerator, 2x Multirail","2x Rnf. Quantum Reactor, 3x Arm. Heavy Treads, Lyr. Heavy Armor Plating, Hvy. Reflective Plating, Hvy. Insulated Plating, Imp. Dynamic Insulation System, 3x Adv. Cooling System, Adv. Coolant Injector, Adv. Force Field, Imp. Utility Shielding, Imp. Core Shielding","As the most powerful standard-line combat robot, a B-99 Colossus will only be stationed in areas with a confirmed significant threat. In addition to armor effective against both thermal and electromagnetic damage, the B-99 is equipped to withstand a sustained attack of almost any kind with its advanced force field. Only the most hardened target can withstand its volley of eight simultaneous slugs.",
"C-40 Crusher","Compactor","6","4","141","40","Large","2","SQ9X9","30","30","Treading","160","62","12","42","104","80","753","14","200~350","60","70","1","ALL","AVERAGE","2","4","12","4","","","-100%","90%","","50%","50%","","","","","Compactor","2x Antimatter Reactor, 2x Hvy. Treads, 2x Imp. Cooling System, 2x Damper Plating, Dynamic Insulation System, Imp. Propulsion Shielding","Compactors break down obsolete robot models, and the occasional intruder sucked down a chute hatch. They are slow, but built to withstand both damage from the rugged environment of waste processing areas and dangerous shocks caused by electromagnetic radiation during robot deconstruction.",
"Cetus Guard","Sentry (Prototype)","10","5","82","125","Large","1","RD7X7","40","100","Treading","160","62","16","30","53","100","390","34","60~80","60","70","1","ALL","VHARD","1","2","3","2","","","50%","","25%","","","Jamming","","","","Adv. Variable Charge Gun, Adv. KE Penetrator","Quantum Reactor, Centrium Heavy Treads, Centrium Medium Armor Plating, 2x Adv. Heat Sink","Cetus Guards are a variant of the Y-72 outfitted with prototype technology, the first of many such experiments aimed at testing new designs in the field, albeit in this case located in an area that generally sees little to no hostile activity.",
"Quarantine Guard","Sentry (Prototype)","10","5","145","200","Large","1","RD7X7","80","100","Treading","145","68","16","40","77","150","554","34","60~80","60","70","1","ALL","GREAT","2","3","8","2","","","50%","","25%","","","Jamming","","","","2x Hcl. Linear Accelerator","Quantum Reactor, Mic. Nuclear Core, 3x Adv. Medium Treads, Centrium Medium Armor Plating, Adv. Matter Compressor, Exp. Thermal Generator, 2x Adv. Cryofiber Web, 2x Adv. Cooling System, Exp. Coolant Injector","Designed for the sole purpose of maintaining maximum operating efficiency in high-heat environments, Quarantine Guards are the most powerful and advanced Y-72 variant to date, supporting dual hypercooled linear accelerators with extra matter storage and a backup power source in combination with an array of heat management utilities.",
"Armor Guard","Sentry (Prototype)","10","5","143","150","Large","1","RD7X7","80","100","Treading","250","40","16","30","119","200","589","20","100~120","60","70","1","ALL","GREAT","1","3","8","2","50%","25%","50%","50%","25%","","","Jamming","","","","Adv. Plasma Rifle, Helical Railgun","Rnf. Quantum Reactor, 3x Arm. Medium Treads, Superdense Plating, Adv. Cryofiber Web, 2x Exp. Heat Sink, Exp. Weapon Cycler","The only variant in a planned line of supremely armored prototype sentries, this design was discontinued when initial deployment proved their movement speed left them vulnerable to being outpositioned by even other treaded hostiles. The remaining samples can still be of service in some locations.",
"S7 Guard","Sentry (Prototype)","10","5","115","200","Large","1","RD7X7","80","100","Treading","135","74","23","44","106","150","514","29","80~100","60","70","1","ALL","GODLY","1","2","5","2","25%","25%","50%","50%","25%","","","Coring, Disruption, Jamming","","","","Hardcell Cannon, Lrn. Phase Cannon","Imp. Quantum Reactor, Exp. Biometal Heavy Treads, Hvy. Regenerative Plating, Exp. Optical Array, 2x Exp. Cooling System","S7 Guards are the first variant in a new line of sentry frames, better fulfilling their purpose with built-in resistance to most forms of damage, and self-regenerating armor to ensure long-term defense of a position until reinforcements can arrive.",
"M Guard","Sentry (Prototype)","10","5","212","300","Large","1","RD7X7","80","100","Treading","135","74","16","76","68","200","436","24","80~100","72","70","1","ALL","GODLY","2","2","13","2","25%","75%","50%","50%","25%","","","Coring, Disruption, Jamming","","","","Graviton Cannon OR Cld. Nova Cannon, Hellfire Missile Launcher OR Adv. Micro-nuke Launcher OR Ragnarok Missile Launcher","2x Zero-point Reactor, Exp. Biometal Heavy Treads, Quantum Shading Machine, Hvy. Regenerative Plating, AEGIS Remote Shield, Thermal Barrier, 4x Exp. Energy Well, Exp. Matter Compressor, Exp. Cooling System, Exp. Coolant Injector, Exp. Targeting Computer","The first application of prototype AEGIS shielding is naturally found in the most important of designs, my own guards. With enough energy to power it through extended confrontations even while protecting nearby allies, it would almost be enough to justify accompanying M Guards with additional squads of frontline robots, if not for their powerful AOE weaponry making close-quarters combat with allied forces problematic.",
"M Shell/Atk","Sentry (Prototype)","10","5","177","300","Large","1","RD7X7","80","100","Treading","160","62","16","50","68","200","418","24","80~100","72","70","1","ALL","GODLY","1","2","11","2","25%","25%","50%","50%","25%","","","Coring, Disruption, Jamming","","","","Hvy. Hardcell Cannon OR Enh. Nova Cannon","Rnf. Quantum Reactor, Enh. Armored Heavy Treads, 2x Med. Regenerative Plating, Exp. Weapon Shielding, Exp. Energy Well, Exp. Matter Compressor, Exp. Cooling System, Exp. Coolant Injector, Exp. Weapon Cycler, Adv. Particle Accelerator, Adv. Kinecellerator, Exp. Targeting Computer","",
"M Shell/Def","Protector (Prototype)","10","4","119","60","Medium","1","RD5X5","20","","Rolling","110","90","16","32","20","100","724","50","60~80","60","70","1","ALL","VHARD","2","3","7","","","25%","","","","","","","","","","","2x Hyb. Antimatter Reactor, 3x Hds. Centrium Wheel, Exp. Power Amplifier, 2x Exp. Energy Well, Adv. Powered Armor, Graphene Brace, Adv. Remote Force Field, Adv. Point Defense System","",
"Enhanced Grunt","Grunt (Prototype)","10","5","96","100","Medium","1","RD5X5","100","50","Walking","120","83","16","31","72","120","398","39","80~110","60","70","1","ALL","AC0","1","2","7","1","","30%","","25%","","","","","","","","Neutron Cannon","Antimatter Reactor, 2x Enh. Flexi-carbon Leg, Lyr. Medium Armor Plating, 3x Adv. Heat Sink, Exp. Thermal Shield, Adv. Energy Well, Adv. Particle Charger","",
