Collected,Name,Type,Slot,Size,Mass,Rating,Category,Integrity,No Repairs,Coverage,Special Trait,Life,Energy Upkeep,Matter Upkeep,Heat Generation,Energy Generation,Energy Storage,Power Stability,Time/Move,Mod/Extra,Drag,Energy/Move,Heat/Move,Support,Penalty,Burnout,Siege,Range,Shot Energy,Shot Matter,Shot Heat,Recoil,Targeting,Delay,Overload Stability,Waypoints,Arc,Projectile Count,Damage,Damage Type,Critical,Penetration,Heat Transfer,Spectrum,Disruption,Salvage,Explosion Radius,Explosion Damage,Falloff,Explosion Type,Explosion Heat Transfer,Explosion Spectrum,Explosion Disruption,Explosion Salvage,Effect,Description,Hackable Schematic,Fabrication Number,Fabrication Time,Fabrication Components
"16","Med. Matter Pod","Storage","Utility","1","2","1","","25","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 100. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position.
 <stacks>","","1","3","51/25/17","",
"17","Lrg. Matter Pod","Storage","Utility","1","3","1","","35","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 150. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position.
 <stacks>","","1","2","51/25/17","",
"38","Hcp. Matter Pod","Storage","Utility","1","4","1","","45","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 200. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position.
 <stacks>","","1","2","51/25/17","",
"7","Com. Matter Pod","Storage","Utility","1","1","3","","15","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 150. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position.
 <stacks>","","1","2","73/36/24","",
"4","YI-UF0's Bottomless Matter Pit","Storage","Utility","1","8","5","Prototype","120","1","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 1500. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position.
 <stacks>","","","","","",
"4","Matter Compressor","Storage","Utility","1","5","5","","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 250. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position.
 <stacks>","","1","2","95/47/31","",
"27","Imp. Matter Compressor","Storage","Utility","1","4","6","Prototype","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 300. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position.
 <stacks>","","1","1","169/84/56","",
"10","Adv. Matter Compressor","Storage","Utility","1","3","7","Prototype","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 400. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position.
 <stacks>","","1","1","187/93/62","",
"36","Exp. Matter Compressor","Storage","Utility","1","2","8","Prototype","80","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases matter storage capacity by 500. Also stores surplus collected matter while in inventory, but cannot be accessed for use until attached. Stored matter can also be extracted directly if on the ground at current position.
 <stacks>","","1","1","204/102/68","",
"18","Weight Redist. System","Device","Utility","1","","2","","22","","8","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 6.
 <no_stack>","","1","2","62/31/20","",
"45","Adv. Weight Redist. System","Device","Utility","1","","3","","24","","8","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 9.
 <no_stack>","","1","2","73/36/24","",
"35","Gravity Neutralizing Apparatus","Device","Utility","1","","5","Prototype","29","","8","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 12.
 <no_stack>","","1","1","152/76/50","",
"12","Inertial Stasis Machine","Device","Utility","1","","7","Prototype","35","","8","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 16.
 <no_stack>","","1","1","187/93/62","",
"16","Quantum Shading Machine","Device","Utility","1","","8","Prototype","36","","8","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 20.
 <no_stack>","","1","1","204/102/68","",
"29","Asb. Suspension Frame","Device","Utility","1","","8","Prototype","55","1","75","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 20.
 <no_stack>","","","","","",
"10","Dimensional Manipulator","Device","Utility","1","","9","Prototype","38","1","8","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases mass support by 25.
 <no_stack>","","1","1","222/111/74","",
"15","Asb. Metafiber Network","Device","Utility","1","1","8","Prototype","50","1","8","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases active leg speed by 20%.
 <no_stack>
","","","","","",
"4","Zio. Metafield Generator","Device","Utility","1","3","8","Prototype","100","1","8","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Doubles core/hover/flight speed, applied before considering any overweight penalties.
 <no_stack>
","","","","","",
"2","ST Field Compressor","Device","Utility","1","5","9","Prototype","120","1","30","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Doubles core/hover/flight speed, applied before considering any overweight penalties.
 <no_stack>
","","","","","",
"138","Structural Scanner","Device","Utility","1","1","1","","20","","8","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Scans all visible walls to analyze the structure behind them and identify hidden doorways. Also highlights areas that will soon cave in due to instability even without further stimulation.","","1","2","51/25/17","",
"4","Trap Scanner","Device","Utility","1","2","3","","20","","8","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4% chance to detect each hidden trap within field of view, checked each turn on a per-trap basis.
 <stacks>","","1","2","73/36/24","",
"2","Imp. Trap Scanner","Device","Utility","1","3","5","","22","","8","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6% chance to detect each hidden trap within field of view, checked each turn on a per-trap basis.
 <stacks>","","1","2","95/47/31","",
"1","Mak. Trap Scanner","Device","Utility","1","5","6","","50","1","8","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20% chance to detect each hidden trap within field of view, checked each turn on a per-trap basis.
 <stacks>","","","2","106/53/35","",
"2","Adv. Trap Scanner","Device","Utility","1","3","7","","27","","8","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8% chance to detect each hidden trap within field of view, checked each turn on a per-trap basis.
 <stacks>","","1","2","117/58/39","",
"22","Machine Analyzer","Processor","Utility","1","","3","","15","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Analyzes visible machines to locate others on the 0b10 network. Also determines whether an explosive machine has been destabilized and how long until detonation.","","1","1","73/36/24","",
"7","Triangulator","Device","Utility","1","1","5","","40","","8","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Reasons likely distance at which each visible hostile can spot you, enables predictions of visible robot travel paths, and analyzes ambient signals to determine how many hostiles are currently tracking you, as well as pinpoint them if within a range of 24.","","1","1","95/47/31","",
"28","Visual Processing Unit","Processor","Utility","1","","2","","22","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases visual sensor range by 2.
 <no_stack>","","1","1","62/31/20","",
"40","Adv. Visual Processing Unit","Processor","Utility","1","","3","","24","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases visual sensor range by 4.
 <no_stack>","","1","1","73/36/24","",
"47","Enh. Optical Array","Processor","Utility","1","","5","","27","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases visual sensor range by 6.
 <no_stack>","","1","1","95/47/31","",
"20","Exp. Optical Array","Processor","Utility","1","","7","Prototype","31","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases visual sensor range by 7.
 <no_stack>","","1","1","187/93/62","",
"21","Spectral Analyzer","Processor","Utility","1","","8","Prototype","36","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases visual sensor range by 8.
 <no_stack>","","1","1","204/102/68","",
"19","Sensor Array","Device","Utility","1","1","1","","20","","15","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 14, once per turn.","","1","1","51/25/17","",
"130","Imp. Sensor Array","Device","Utility","1","1","3","","22","","15","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 15, once per turn.","","1","1","73/36/24","",
"249","Adv. Sensor Array","Device","Utility","1","1","5","","24","","15","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 16, once per turn.","","1","1","95/47/31","",
"132","Lrn. Sensor Array","Device","Utility","1","2","7","","27","","15","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 18, once per turn.","","1","1","117/58/39","",
"29","Mak. Sensor Array","Device","Utility","1","5","7","","25","1","15","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 19, once per turn.","","","1","117/58/39","",
"289","Exp. Sensor Array","Device","Utility","1","1","8","Prototype","29","","15","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 20, once per turn.","","1","1","204/102/68","",
"29","Signal Interpreter","Processor","Utility","1","","1","","20","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Strength 1: Robot scan signals differentiate between object sizes. (Requires data from a Sensor Array.) Also enables deciphering of signals emitted from adjacent exits, revealing where they lead, and at garrisons know the time until the next response dispatch, if any. When multiple exits lead to the same destination, after having identified the first, subsequent ones will be identified on sight even without an interpreter.","","1","2","51/25/17","",
"80","Imp. Signal Interpreter","Processor","Utility","1","","3","","22","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Strength 2: Robot scan signals accurately reflect target size and class, and are unaffected by system corruption. (Requires data from a Sensor Array.) Also enables deciphering of signals emitted from adjacent exits, revealing where they lead, and at garrisons know the time until the next response dispatch, if any. When multiple exits lead to the same destination, after having identified the first, subsequent ones will be identified on sight even without an interpreter.","","1","2","73/36/24","",
"89","Adv. Signal Interpreter","Processor","Utility","1","","5","","24","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Strength 3: Robot scan signals accurately reflect target size and specific class rating, and are unaffected by system corruption. (Requires data from a Sensor Array.) Also enables deciphering of signals emitted from adjacent exits, revealing where they lead, and at garrisons know the time until the next response dispatch, if any. When multiple exits lead to the same destination, after having identified the first, subsequent ones will be identified on sight even without an interpreter.","","1","2","95/47/31","",
"16","Exp. Signal Interpreter","Processor","Utility","1","","7","Prototype","29","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Strength 4: Robot scan signals accurately reflect target size and specific class rating, are unaffected by system corruption, and can discern dormant, unpowered, disabled, and broken robots. (Requires data from a Sensor Array.) Also enables deciphering of signals emitted from adjacent exits, revealing where they lead, and at garrisons know the time until the next response dispatch, if any. When multiple exits lead to the same destination, after having identified the first, subsequent ones will be identified on sight even without an interpreter.","","1","1","187/93/62","",
"5","Active Sensor Suite","Device","Utility","3","4","8","Prototype","100","1","45","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables robot scanning up to a distance of 20, once per turn, in addition to all effects of a maximum-strength Signal Interpreter. Also detects long-term residual evidence of prior robot activity within field of view. 0b10 combat robots scanned by this device will report the event, once per bot.","","","","","",
"3","Terrain Scanner","Device","Utility","1","1","1","","20","","15","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 14, once per turn.","","1","2","51/25/17","",
"57","Imp. Terrain Scanner","Device","Utility","1","1","3","","22","","15","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 16, once per turn.","","1","2","73/36/24","",
"106","Adv. Terrain Scanner","Device","Utility","1","1","5","","24","","15","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 20, once per turn.","","1","2","95/47/31","",
"1","Mak. Terrain Scanner","Device","Utility","1","1","7","","25","1","15","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 18, once per turn.","","","2","117/58/39","",
"156","Lrn. Terrain Scanner","Device","Utility","1","2","7","","27","","15","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 24, once per turn.","","1","1","117/58/39","",
"39","Exp. Terrain Scanner","Device","Utility","1","1","8","Prototype","29","","15","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 30, once per turn.","","1","1","204/102/68","",
"1","Surveybot 24 Scanner","Device","Utility","1","5","8","","5","1","30","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables terrain scanning up to a distance of 24, once per turn.","","","","","",
"12","Seismic Analyzer","Processor","Utility","1","","1","","20","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 50. (Requires data from a Terrain Scanner.)
 <stacks>","","1","2","51/25/17","",
"17","Terrain Scan Processor","Processor","Utility","1","","2","","22","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 75. (Requires data from a Terrain Scanner.)
 <stacks>","","1","2","62/31/20","",
"20","Imp. Terrain Scan Processor","Processor","Utility","1","","3","","24","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 100. (Requires data from a Terrain Scanner.)
 <stacks>","","1","2","73/36/24","",
"5","Mak. Terrain Scan Processor","Processor","Utility","1","","4","","25","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 125. (Requires data from a Terrain Scanner.)
 <stacks>","","","2","84/42/28","",
"47","Adv. Terrain Scan Processor","Processor","Utility","1","","4","","27","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 200. (Requires data from a Terrain Scanner.)
 <stacks>","","1","2","84/42/28","",
"14","Exp. Terrain Scan Processor","Processor","Utility","1","","7","Prototype","29","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 1000. (Requires data from a Terrain Scanner.)
 <stacks>","","1","1","187/93/62","",
"1","Surveybot 24 Chip","Processor","Utility","1","","8","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases terrain scanning density by 2000. (Requires data from a Terrain Scanner.)
 <stacks>","","","","","",
"23","Transport Network Coupler","Processor","Utility","1","","1","","20","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables real-time tracking of 0b10 Haulers across the entire floor. Only applies in 0b10-controlled areas.","","1","2","51/25/17","",
"3","Modified TNC","Processor","Utility","1","","5","Prototype","20","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables both real-time tracking of 0b10 Haulers across the entire floor, and gives access to their current manifest. Toggle active state to temporarily list all inventories in view. Only applies in 0b10-controlled areas.","","","","","",
"5","0b10 Decoder Chip [Generic]","Processor","Utility","1","","5","","10","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Decodes ambient 0b10 transmissions to extract bits of useful data over time. This variant is tuned to prioritize info about items, traps, exits, hidden doorways, interactive machines, and active patrol and security positions.
 <parallel_ok>","","","2","95/47/31","",
"4","0b10 Decoder Chip [Looter]","Processor","Utility","1","","5","","10","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Decodes ambient 0b10 transmissions to extract bits of useful data over time. This variant is tuned to prioritize info about items.
 <parallel_ok>","","","2","95/47/31","",
"8","0b10 Decoder Chip [Scout]","Processor","Utility","1","","5","","10","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Decodes ambient 0b10 transmissions to extract bits of useful data over time. This variant is tuned to prioritize info about traps, exits, garrisons, and hidden doorways.
 <parallel_ok>","","","2","95/47/31","",
"5","0b10 Decoder Chip [Skirmisher]","Processor","Utility","1","","5","","10","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Decodes ambient 0b10 transmissions to extract bits of useful data over time. This variant is tuned to prioritize info about garrisons and active patrol, investigation, reinforcement, and security positions.
 <parallel_ok>","","","2","95/47/31","",
"1","0b10 Alert Chip","Processor","Utility","1","","5","Prototype","10","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Analyzes ambient 0b10 signals to gauge the current alert level, and reduces all influence increases by 20%.","","","","","",
"2","Salvage Targeting Computer","Processor","Utility","1","","2","","22","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases salvage recovered from targets, +1 modifier. Compatible only with gun-type weapons that fire a single projectile.
 <stacks>","","1","2","62/31/20","",
"1","Imp. Salvage Targeting Computer","Processor","Utility","1","","4","","27","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases salvage recovered from targets, +2 modifier. Compatible only with gun-type weapons that fire a single projectile.
 <stacks>","","1","2","84/42/28","",
"4","Mak. Salvage Targeting Computer","Processor","Utility","1","","4","","5","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases salvage recovered from targets, +4 modifier. Compatible only with gun-type weapons that fire a single projectile.
 <stacks>","","","2","84/42/28","",
"3","Adv. Salvage Targeting Computer","Processor","Utility","1","","6","","31","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases salvage recovered from targets, +3 modifier. Compatible only with gun-type weapons that fire a single projectile.
 <stacks>","","1","1","106/53/35","",
"9","Asb. Combat Suite","Device","Utility","1","2","8","Prototype","60","1","8","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases non-melee weapon accuracy by 8% <stacks>. Enables 8% chance to automatically transfer half of attack damage directly to target core (applies only to gun, cannon, and melee attacks). Reduces enemy targeting accuracy by 8%.
 <no_stack>","","","","","",
"24","Targeting Computer","Processor","Utility","1","","1","","10","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases non-melee weapon accuracy by 5%.
 <stacks>","","1","2","51/25/17","",
"42","Imp. Targeting Computer","Processor","Utility","1","","2","","15","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases non-melee weapon accuracy by 6%.
 <stacks>","","1","1","62/31/20","",
"81","Adv. Targeting Computer","Processor","Utility","1","","3","","20","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases non-melee weapon accuracy by 8%.
 <stacks>","","1","1","73/36/24","",
"79","Exp. Targeting Computer","Processor","Utility","1","","5","Prototype","20","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases non-melee weapon accuracy by 12%.
 <stacks>","","1","1","152/76/50","",
"11","Tactical Coordination Suite","Device","Utility","1","5","5","","30","1","8","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases non-melee weapon accuracy by 10%, applying benefit to both self and any allies within a range of 10.
 <stacks>","","","1","95/47/31","",
"9","Melee Analysis Suite","Processor","Utility","1","","3","","10","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases melee attack accuracy by 5%, and minimum damage by 2 (cannot exceed weapon's maximum damage).
 <stacks>","","1","2","73/36/24","",
"31","Imp. Melee Analysis Suite","Processor","Utility","1","","4","","15","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases melee attack accuracy by 6%, and minimum damage by 3 (cannot exceed weapon's maximum damage).
 <stacks>","","1","1","84/42/28","",
"40","Adv. Melee Analysis Suite","Processor","Utility","1","","5","","20","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases melee attack accuracy by 8%, and minimum damage by 4 (cannot exceed weapon's maximum damage).
 <stacks>","","1","1","95/47/31","",
"20","Exp. Melee Analysis Suite","Processor","Utility","1","","7","Prototype","20","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases melee attack accuracy by 12%, and minimum damage by 6 (cannot exceed weapon's maximum damage).
 <stacks>","","1","1","187/93/62","",
"4","Launcher Guidance Computer","Processor","Utility","1","","4","","27","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases launcher accuracy by 20%. Also prevents launcher misfires caused by system corruption.
 <stacks>","","1","2","84/42/28","",
"2","Imp. Launcher Guidance Computer","Processor","Utility","1","","6","","31","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases launcher accuracy by 30%. Also prevents launcher misfires caused by system corruption.
 <stacks>","","1","2","106/53/35","",
"3","Adv. Launcher Guidance Computer","Processor","Utility","1","","8","","36","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases launcher accuracy by 40%. Also prevents launcher misfires caused by system corruption.
 <stacks>","","1","1","128/64/42","",
"4","Target Analyzer","Processor","Utility","1","","3","","24","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases weapon critical chances by 5%. Only affects weapons that are already capable of critical hits, and not applicable for the Meltdown critical.
 <half_stack>","","1","2","73/36/24","",
"12","Imp. Target Analyzer","Processor","Utility","1","","5","","29","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases weapon critical chances by 6%. Only affects weapons that are already capable of critical hits, and not applicable for the Meltdown critical.
 <half_stack>","","1","1","95/47/31","",
"25","Adv. Target Analyzer","Processor","Utility","1","","7","","35","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases weapon critical chances by 8%. Only affects weapons that are already capable of critical hits, and not applicable for the Meltdown critical.
 <half_stack>","","1","1","117/58/39","",
"28","Exp. Target Analyzer","Processor","Utility","1","","8","Prototype","36","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases weapon critical chances by 10%. Only affects weapons that are already capable of critical hits, and not applicable for the Meltdown critical.
 <half_stack>","","1","1","204/102/68","",
"5","Core Analyzer","Processor","Utility","1","","4","","24","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables 6% chance to automatically transfer half of attack damage directly to target core. Applies only to gun, cannon, and melee attacks. Disruption effects are also applied to cores affected in this manner, but any critical strike effects are not.
 <half_stack>","","1","2","84/42/28","",
"8","Imp. Core Analyzer","Processor","Utility","1","","6","","29","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables 8% chance to automatically transfer half of attack damage directly to target core. Applies only to gun, cannon, and melee attacks. Disruption effects are also applied to cores affected in this manner, but any critical strike effects are not.
 <half_stack>","","1","1","106/53/35","",
"5","Adv. Core Analyzer","Processor","Utility","1","","8","","35","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables 10% chance to automatically transfer half of attack damage directly to target core. Applies only to gun, cannon, and melee attacks. Disruption effects are also applied to cores affected in this manner, but any critical strike effects are not.
 <half_stack>","","1","1","128/64/42","",
"19","Exp. Core Analyzer","Processor","Utility","1","","9","Prototype","36","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables 15% chance to automatically transfer half of attack damage directly to target core. Applies only to gun, cannon, and melee attacks. Disruption effects are also applied to cores affected in this manner, but any critical strike effects are not.
 <half_stack>","","1","1","222/111/74","",
"11","Armor Integrity Analyzer","Processor","Utility","1","","5","","29","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables 30% chance to bypass target armor. Does not apply to AOE attacks.
 <no_stack>","","1","1","95/47/31","",
"8","Imp. Armor Integrity Analyzer","Processor","Utility","1","","7","","35","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables 40% chance to bypass target armor. Does not apply to AOE attacks.
 <no_stack>","","1","1","117/58/39","",
"17","Exp. Armor Integrity Analyzer","Processor","Utility","1","","9","Prototype","36","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables 50% chance to bypass target armor. Does not apply to AOE attacks.
 <no_stack>","","1","1","222/111/74","",
"4","Recoil Stabilizer","Device","Utility","1","1","3","","25","","30","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Reduces recoil from each weapon in a volley by 2.
 <stacks>","","1","2","73/36/24","",
"12","Recoil Nullifier","Device","Utility","1","1","6","","40","","30","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Reduces recoil from each weapon in a volley by 6.
 <stacks>","","1","2","106/53/35","",
"9","Matter Filter","Device","Utility","1","3","4","","40","","50","","","5","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Reduces matter cost of firing any weapon by 30%.
 <half_stack>","","1","2","84/42/28","",
"15","Prc. Matter Filter","Device","Utility","1","5","6","Prototype","60","","50","","","10","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Reduces matter cost of firing any weapon by 50%.
 <half_stack>","","1","1","169/84/56","",
"24","Energy Filter","Device","Utility","1","3","4","","40","","50","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Reduces energy cost of firing any weapon by 30%.
 <half_stack>","","1","2","84/42/28","",
